Country	Units	Scale	2016	2017	2018	2019	2020	Estimates Start After
Afghanistan	U.S. dollars	Billions	18.395	19.290	20.604	22.297	24.222	2014
Albania	U.S. dollars	Billions	12.144	12.876	13.764	14.813	15.997	2014
Algeria	U.S. dollars	Billions	168.318	178.431	184.189	189.297	195.367	2015
Angola	U.S. dollars	Billions	91.939	102.315	108.588	114.449	120.822	2015
Antigua and Barbuda	U.S. dollars	Billions	1.303	1.358	1.429	1.505	1.585	2014
Argentina	U.S. dollars	Billions	541.748	594.975	651.335	709.466	773.445	2014
Armenia	U.S. dollars	Billions	10.754	11.159	11.799	12.512	13.254	2015
Australia	U.S. dollars	Billions	1256.640	1343.608	1413.808	1493.884	1574.192	2015
Austria	U.S. dollars	Billions	387.299	401.138	414.848	429.948	446.113	2015
Azerbaijan	U.S. dollars	Billions	35.686	38.541	40.083	42.087	43.770	2015
The Bahamas	U.S. dollars	Billions	9.047	9.345	9.729	10.095	10.540	2015
Bahrain	U.S. dollars	Billions	31.823	33.918	35.703	37.292	39.025	2015
Bangladesh	U.S. dollars	Billions	226.760	246.166	268.611	293.252	319.237	2013
Barbados	U.S. dollars	Billions	4.473	4.640	4.853	5.083	5.327	2015
Belarus	U.S. dollars	Billions	48.126	49.520	51.533	53.582	56.010	2015
Belgium	U.S. dollars	Billions	470.179	488.694	505.629	523.766	543.065	2015
Belize	U.S. dollars	Billions	1.770	1.855	1.939	2.014	2.090	2015
Benin	U.S. dollars	Billions	8.930	9.605	10.347	11.195	12.065	2012
Bhutan	U.S. dollars	Billions	2.085	2.251	2.550	2.965	3.293	2014
Bolivia	U.S. dollars	Billions	35.699	39.795	43.373	47.209	51.193	2015
Bosnia and Herzegovina	U.S. dollars	Billions	16.532	17.329	18.286	19.402	20.725	2015
Botswana	U.S. dollars	Billions	10.948	11.048	11.772	12.728	13.324	2015
Brazil	U.S. dollars	Billions	1769.601	1953.861	2028.923	2118.323	2213.760	2014
Brunei Darussalam	U.S. dollars	Billions	10.458	11.820	12.527	14.310	16.553	2015
Bulgaria	U.S. dollars	Billions	50.446	52.667	55.125	57.942	61.087	2015
Burkina Faso	U.S. dollars	Billions	12.006	13.092	14.192	15.451	16.818	2014
Burundi	U.S. dollars	Billions	2.742	2.600	2.644	2.899	3.034	2015
Cabo Verde	U.S. dollars	Billions	1.684	1.779	1.898	2.033	2.183	2015
Cambodia	U.S. dollars	Billions	19.368	20.937	22.743	24.733	26.834	2013
Cameroon	U.S. dollars	Billions	30.870	33.118	35.410	37.819	40.547	2014
Canada	U.S. dollars	Billions	1532.343	1627.303	1700.484	1776.816	1855.696	2015
Central African Republic	U.S. dollars	Billions	1.782	2.003	2.248	2.521	2.836	2012
Chad	U.S. dollars	Billions	10.441	11.579	12.408	14.117	15.118	2013
Chile	U.S. dollars	Billions	234.903	242.641	253.973	266.550	280.483	2015
China	U.S. dollars	Billions	11391.619	12361.737	13576.047	14917.957	16458.029	2015
Colombia	U.S. dollars	Billions	274.135	300.988	325.195	352.059	380.615	2015
Comoros	U.S. dollars	Billions	0.622	0.657	0.700	0.750	0.806	2015
Democratic Republic of the Congo	U.S. dollars	Billions	39.820	41.889	44.753	47.864	51.189	2013
Republic of Congo	U.S. dollars	Billions	8.834	10.271	11.035	11.701	12.360	2014
