2016 2017 2018 2019 2020
18.395 19.290 20.604 22.297 24.222
12.144 12.876 13.764 14.813 15.997
168.318 178.431 184.189 189.297 195.367
91.939 102.315 108.588 114.449 120.822
1.303 1.358 1.429 1.505 1.585
541.748 594.975 651.335 709.466 773.445
10.754 11.159 11.799 12.512 13.254
1256.640 1343.608 1413.808 1493.884 1574.192
387.299 401.138 414.848 429.948 446.113
35.686 38.541 40.083 42.087 43.770
9.047 9.345 9.729 10.095 10.540
31.823 33.918 35.703 37.292 39.025
226.760 246.166 268.611 293.252 319.237
4.473 4.640 4.853 5.083 5.327
48.126 49.520 51.533 53.582 56.010
470.179 488.694 505.629 523.766 543.065
1.770 1.855 1.939 2.014 2.090
8.930 9.605 10.347 11.195 12.065
2.085 2.251 2.550 2.965 3.293
35.699 39.795 43.373 47.209 51.193
16.532 17.329 18.286 19.402 20.725
10.948 11.048 11.772 12.728 13.324
1769.601 1953.861 2028.923 2118.323 2213.760
10.458 11.820 12.527 14.310 16.553
50.446 52.667 55.125 57.942 61.087
12.006 13.092 14.192 15.451 16.818
2.742 2.600 2.644 2.899 3.034
1.684 1.779 1.898 2.033 2.183
19.368 20.937 22.743 24.733 26.834
30.870 33.118 35.410 37.819 40.547
1532.343 1627.303 1700.484 1776.816 1855.696
1.782 2.003 2.248 2.521 2.836
10.441 11.579 12.408 14.117 15.118
234.903 242.641 253.973 266.550 280.483
11391.619 12361.737 13576.047 14917.957 16458.029
274.135 300.988 325.195 352.059 380.615
0.622 0.657 0.700 0.750 0.806
39.820 41.889 44.753 47.864 51.189
8.834 10.271 11.035 11.701 12.360
57.689 61.534 65.872 70.357 75.227
34.649 38.396 42.424 46.769 51.546
49.855 51.473 53.525 56.040 58.857
19.931 20.525 21.419 22.456 23.456
193.535 201.107 204.885 206.742 208.717
302.571 314.766 326.813 340.995 356.532
1.894 2.098 2.323 2.560 2.795
0.524 0.548 0.573 0.599 0.626
71.457 75.395 79.553 83.940 88.569
99.118 98.107 97.167 97.428 97.156

26.610 27.659 28.924 30.222 31.532
11.638 11.483 11.552 11.740 11.998
5.352 6.050 6.856 7.766 8.137
23.476 24.609 25.900 27.376 29.059
69.218 76.907 84.004 91.363 99.543
4.556 4.789 5.035 5.277 5.531
239.186 247.910 256.238 266.588 278.261
2488.284 2570.023 2649.551 2741.357 2850.668
14.563 15.916 17.241 18.689 20.255
0.886 0.836 0.891 0.952 1.018
14.463 15.713 17.214 18.724 20.344
3494.898 3618.621 3736.315 3866.652 4007.765
42.761 46.610 51.293 55.807 60.171
195.878 204.941 214.725 225.331 236.538
1.028 1.090 1.146 1.202 1.263
68.389 71.984 76.817 82.022 87.493
6.754 6.904 7.307 7.771 8.318
1.168 1.239 1.332 1.439 1.556
3.456 3.691 3.860 4.056 4.247
8.259 7.837 7.962 8.243 8.656
20.930 21.406 22.065 22.794 23.547
316.070 326.399 343.152 360.971 379.743
117.065 117.993 123.502 129.819 135.140
19.444 21.393 22.753 23.953 24.815
2250.987 2457.748 2695.183 2981.818 3297.453
940.953 1014.867 1096.902 1177.568 1273.809
412.304 438.334 471.145 505.836 544.904
156.323 173.589 184.197 196.037 210.197
307.917 325.831 342.849 360.558 379.867
311.739 327.630 341.978 357.915 374.164
1852.499 1895.318 1941.899 1991.147 2045.978
13.779 14.562 15.329 16.130 16.993
4730.300 5106.259 5230.423 5395.573 5506.436
39.453 41.692 44.337 47.263 50.383
128.109 148.292 163.566 178.145 197.116
69.170 74.740 81.215 88.267 95.476
0.166 0.176 0.182 0.188 0.193
1404.383 1521.000 1591.301 1668.970 1746.814
6.560 6.898 7.305 7.754 8.260
110.455 124.869 134.313 143.521 154.071
5.794 6.240 6.743 7.203 7.732
13.761 14.811 15.971 17.216 18.516
27.945 29.636 31.509 33.594 35.880
51.815 53.366 55.624 58.323 61.085
1.806 1.910 2.027 2.119 2.218
2.168 2.335 2.553 2.788 3.045
39.389 51.408 60.750 72.146 87.987
42.776 44.937 47.655 50.747 54.112
60.984 64.512 68.223 72.201 76.485
44.066 44.968 45.820 47.306 49.403
10.492 11.105 11.735 12.466 13.327
9.740 10.372 11.021 11.817 12.668
5.474 6.364 6.722 7.121 7.604
302.748 336.303 376.682 422.591 472.690
3.270 3.491 3.755 4.049 4.378
14.103 15.172 15.995 16.951 18.123
10.463 11.151 11.798 12.542 13.339
0.188 0.193 0.199 0.204 0.211
